recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-10-15 Di. 07:00 ,2019-10-01653,,,61.2,0.0,11.4,,,,,,,,,,,0.2,0.4,63.9,0.78,4.03,3.46,0.51,0.19,0.028,0.22,0.06,,,,0.52,62.0,16.5,2.5,3.5,7.5,1.2,0.1,
2019-10-14 Mo. 08:00 ,2019-10-01532,,,60.9,0.0,11.4,32.5,130,165,0.4,1.5,8.7,11.3,18.4,21.7,26.2,0.7,1.5,63.8,0.92,3.99,3.48,0.51,0.21,0.029,0.21,0.06,,,,0.55,60.1,16.5,2.2,3.5,7.6,1.3,0.9,
2019-10-10 Do. 05:00 ,2019-10-01120,49.3,,61.0,0.0,11.2,32.5,130,160,0.2,1.5,8.7,11.7,19.7,24.0,30.1,0.2,0.5,63.4,0.83,4.08,3.62,0.54,0.19,0.039,0.22,0.06,,,,0.55,61.6,15.5,2.8,3.7,7.8,0.9,0.2,
2019-10-08 Di. 05:00 ,2019-10-00840,49.5,,61.0,0.0,11.1,,,,,1.5,8.8,11.8,19.9,23.8,29.1,0.2,0.4,65.2,0.78,4.05,3.63,0.52,0.22,0.035,0.22,0.06,,,,0.56,63.3,14.4,2.4,3.8,7.2,1.1,0.2,
2019-10-07 Mo. 08:00 ,2019-10-00712,49.6,,60.8,0.0,11.3,32.5,135,170,,1.5,8.9,11.6,19.0,22.4,27.0,0.7,1.5,64.8,0.88,4.08,3.61,0.54,0.20,0.037,0.21,0.06,,,,0.56,63.1,13.2,2.3,4.0,7.5,1.1,0.7,
2019-10-04 Fr. 09:00 ,2019-10-00413,50.5,,61.3,0.0,11.0,32.5,125,155,0.5,1.6,8.7,11.6,19.5,23.7,29.9,0.3,0.7,63.6,0.80,3.99,3.58,0.56,0.19,0.045,0.21,0.06,,,,0.56,63.0,14.9,2.6,3.4,7.7,1.3,0.0,
2019-10-01 Di. 06:00 ,2019-10-00050,45.7,,61.4,0.0,11.1,32.0,130,165,,1.5,8.8,11.7,19.7,23.5,28.7,0.2,0.4,65.3,0.78,4.10,3.71,0.53,0.22,0.032,0.22,0.06,,,,0.57,62.8,14.6,2.3,4.1,7.2,1.3,0.1,
2019-10-01 Di. 05:00 ,2019-10-00032,50.6,,61.1,0.0,11.6,,,,,1.5,8.7,11.4,18.5,21.9,26.5,0.8,1.9,64.5,0.89,4.11,3.71,0.54,0.22,0.038,0.22,0.06,,,,0.57,59.8,15.4,2.3,3.6,7.1,1.5,1.0,
2019-09-30 Mo. 12:00 ,2019-09-03751,55.1,,,,,,,,,1.4,8.1,10.7,17.6,20.7,25.0,,,64.5,0.78,3.89,3.60,0.53,0.21,0.042,0.21,0.06,,,,0.55,62.3,12.6,2.6,3.4,7.4,1.6,1.7,
2019-09-30 Mo. 07:00 ,2019-09-03716,51.4,,61.4,0.0,11.3,,,,,1.5,8.8,11.5,18.9,22.3,26.9,0.6,1.4,65.0,0.86,4.08,3.68,0.54,0.21,0.036,0.22,0.06,,,,0.57,62.8,13.5,2.7,3.3,7.3,1.2,0.6,
2019-09-26 Do. 05:00 ,2019-09-03268,50.4,37.7,60.6,0.0,11.1,32.5,120,150,1.0,1.5,8.9,11.7,19.3,22.9,28.0,0.2,0.5,64.3,0.83,4.01,3.55,0.57,0.21,0.052,0.21,0.06,,,,0.58,62.6,15.0,2.9,3.0,7.4,1.5,0.1,
2019-09-24 Di. 06:00 ,2019-09-03017,48.1,48.1,61.9,0.0,11.0,,,,,1.4,8.2,11.0,18.6,22.4,27.7,0.1,0.3,64.9,0.77,4.08,3.76,0.55,0.21,0.038,0.22,0.06,,,,0.57,62.6,14.4,2.8,3.6,7.1,1.2,0.1,
2019-09-23 Mo. 06:00 ,2019-09-02861,51.9,,61.4,0.0,11.3,32.5,125,165,,1.4,8.3,11.0,18.3,21.6,26.2,0.7,1.6,63.7,0.79,3.93,3.50,0.53,0.21,0.040,0.21,0.06,,,,0.55,62.4,14.4,2.3,4.0,7.3,1.0,1.2,
