recorded-at, sample-id, comp. str. 2d, comp. str. 7d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-10-15 Di. 08:00 ,2019-10-01666,,,,72.9,0.1,8.1,,,,,,,,,,,0.7,1.7,47.0,4.69,7.97,3.43,0.58,0.23,0.043,0.54,0.17,0.68,70.0,74.1,0.61,19.0,4.1,0.8,1.2,2.5,0.2,1.2,65.4
2019-10-14 Mo. 08:00 ,2019-10-01547,,,,73.1,0.0,8.1,30.0,215,255,,1.7,11.7,16.3,29.5,36.6,47.1,0.8,1.8,47.7,4.76,8.12,3.53,0.59,0.26,0.041,0.56,0.17,0.83,69.6,73.7,0.65,19.0,3.7,1.2,1.1,2.1,0.1,1.3,65.8
2019-10-10 Do. 05:00 ,2019-10-01132,12.2,,,73.2,0.0,8.4,29.5,200,240,0.5,1.6,10.6,14.9,27.2,34.7,46.4,0.3,0.7,48.9,4.92,7.87,3.48,0.58,0.23,0.073,0.53,0.17,0.69,67.9,71.9,0.61,17.7,5.8,0.7,1.6,2.4,0.7,0.3,64.9
2019-10-08 Di. 05:00 ,2019-10-00851,12.4,34.8,,73.2,0.0,8.1,,,,,1.7,11.6,16.2,29.3,36.3,46.7,0.7,1.7,48.2,4.81,8.13,3.56,0.58,0.25,0.041,0.56,0.17,0.84,69.0,73.2,0.63,18.5,3.7,0.6,1.4,2.6,0.3,1.6,65.6
2019-10-07 Mo. 08:00 ,2019-10-00727,11.2,34.8,,71.5,-0.1,8.3,29.5,225,280,,1.8,12.0,16.9,30.8,39.0,51.0,0.4,0.8,50.2,4.99,8.29,3.48,0.64,0.25,0.075,0.54,0.18,0.67,65.7,69.5,0.67,20.0,4.1,0.8,1.3,2.1,0.4,0.4,65.0
2019-10-06 So. 22:00 ,2019-10-00753,,,,,,,,,,,2.2,16.2,22.1,38.6,46.8,58.0,,,49.7,4.50,7.78,2.35,0.60,0.23,0.057,0.49,0.17,0.57,63.1,65.6,0.63,24.3,6.5,1.1,1.4,3.0,0.2,0.8,58.2
2019-10-04 Fr. 09:00 ,2019-10-00424,12.4,37.7,,72.9,0.0,7.7,29.5,225,275,1.0,1.7,11.5,16.3,29.6,37.7,49.5,0.4,0.9,46.5,4.58,7.79,3.41,0.60,0.22,0.082,0.49,0.19,0.67,70.3,74.4,0.62,20.2,4.0,1.0,1.1,2.4,0.3,0.3,64.9
2019-10-01 Di. 06:00 ,2019-10-00063,12.1,35.7,,73.1,0.0,8.1,,,,,1.7,11.6,16.1,29.1,36.4,47.6,0.3,0.7,46.6,4.62,7.84,3.32,0.59,0.24,0.060,0.50,0.18,0.78,70.7,74.7,0.62,19.8,4.2,0.6,1.3,2.2,0.5,0.4,65.5
2019-09-30 Mo. 07:00 ,2019-09-03729,12.4,38.7,,73.2,0.0,8.1,29.5,210,250,,1.7,11.3,15.6,27.9,34.5,44.4,0.4,0.8,47.2,4.64,7.97,3.48,0.62,0.24,0.067,0.52,0.17,0.80,69.8,73.9,0.65,19.3,4.6,0.9,1.2,2.4,0.5,0.6,65.2
2019-09-26 Do. 05:00 ,2019-09-03282,12.0,36.7,,73.4,0.0,8.1,29.5,220,265,0.5,1.7,11.4,16.1,29.4,37.4,49.3,0.4,0.9,47.5,4.81,7.96,3.41,0.61,0.24,0.066,0.52,0.18,0.66,69.7,73.8,0.64,20.0,3.4,0.7,1.3,2.4,0.6,0.5,65.6
2019-09-24 Di. 06:00 ,2019-09-03030,11.9,38.4,,73.3,0.0,7.9,,,,,1.8,11.8,16.8,30.7,39.0,51.0,0.3,0.8,46.5,4.72,7.92,3.40,0.61,0.24,0.060,0.51,0.17,0.80,71.6,75.7,0.64,18.9,3.7,1.1,1.2,2.2,0.4,0.4,66.8
2019-09-23 Mo. 06:00 ,2019-09-02874,11.5,36.9,36.9,73.0,0.0,8.2,29.5,205,250,1.0,1.7,11.5,16.2,29.4,36.8,47.7,0.3,0.8,48.3,5.03,8.08,3.56,0.61,0.24,0.068,0.52,0.17,0.85,70.2,74.4,0.64,18.4,4.4,1.2,1.3,1.9,0.4,0.4,67.0
2019-09-19 Do. 06:00 ,2019-09-02381,11.6,36.6,,73.3,0.0,8.2,29.5,205,255,,1.8,11.8,16.4,29.3,36.4,47.0,0.4,0.9,46.9,5.11,8.17,3.49,0.60,0.24,0.061,0.53,0.17,0.84,73.6,77.9,0.64,18.9,4.8,0.9,1.2,2.4,0.4,0.4,64.8
2019-09-17 Di. 06:00 ,2019-09-02094,11.1,35.5,54.2,72.9,0.1,8.0,29.5,215,265,1.0,1.7,11.7,16.3,29.4,36.4,46.8,0.7,1.6,47.0,4.65,7.88,3.49,0.58,0.23,0.039,0.54,0.17,0.80,70.2,74.3,0.61,18.7,4.7,0.9,1.2,2.2,1.0,1.4,64.2
2019-09-16 Mo. 06:00 ,2019-09-01960,11.3,34.8,53.9,72.9,0.0,8.1,,,,,1.7,11.6,16.2,29.4,36.5,47.0,0.7,1.6,47.6,5.05,8.34,3.05,0.58,0.24,0.038,0.55,0.17,0.71,71.3,75.0,0.62,18.8,4.1,0.9,1.3,2.0,0.3,1.2,66.3
2019-09-13 Fr. 05:00 ,2019-09-01596,,,,,,,,,,,1.7,11.6,16.2,29.1,35.8,45.8,,,48.3,4.83,8.17,3.57,0.59,0.24,0.044,0.56,0.17,0.75,68.6,72.8,0.62,18.7,4.2,0.7,1.4,2.3,0.5,1.2,65.0
2019-09-12 Do. 08:00 ,2019-09-01497,,,,,,,,,,,2.0,14.8,20.5,36.1,44.4,55.9,,,50.0,4.58,8.14,2.35,0.65,0.24,0.080,0.52,0.16,0.64,63.3,65.8,0.66,23.9,6.1,1.2,1.5,2.7,0.2,0.5,60.0
2019-09-12 Do. 06:00 ,2019-09-01470,12.8,38.0,55.8,72.8,0.0,8.1,29.0,230,275,,1.8,11.8,16.6,30.0,37.6,48.4,0.6,1.3,48.5,4.50,8.21,3.52,0.65,0.24,0.085,0.57,0.16,0.84,66.2,70.2,0.67,17.9,3.6,0.5,1.6,2.1,0.3,1.1,67.5
2019-09-10 Di. 06:00 ,2019-09-01155,13.4,38.2,57.1,72.8,0.0,8.0,,,,,1.7,11.8,16.6,30.0,37.6,48.4,0.6,1.3,48.1,4.46,8.16,3.51,0.65,0.24,0.085,0.56,0.16,0.82,66.7,70.7,0.67,18.4,4.1,0.7,1.4,2.2,0.3,0.9,66.4
2019-09-09 Mo. 07:00 ,2019-09-01013,12.6,38.2,55.5,72.6,0.0,8.0,29.0,225,275,0.5,1.7,11.6,16.5,30.1,37.9,49.0,0.5,1.1,46.8,4.73,8.10,3.46,0.63,0.23,0.085,0.51,0.16,0.70,70.8,75.0,0.64,17.8,4.5,0.8,1.5,2.1,0.4,0.4,66.7
2019-09-05 Do. 07:00 ,2019-09-00550,12.7,38.9,55.2,72.8,0.0,8.0,29.0,235,285,,1.8,11.8,16.7,30.1,37.8,48.6,0.6,1.3,48.2,4.49,8.19,3.50,0.64,0.23,0.093,0.56,0.15,0.73,66.6,70.5,0.65,17.7,4.3,0.5,1.4,2.2,0.3,0.7,67.3
2019-09-03 Di. 08:00 ,2019-09-00277,12.7,37.0,54.6,72.9,0.0,8.0,,,,,1.7,11.7,16.4,29.8,37.2,48.0,0.7,1.6,48.2,4.51,8.11,3.43,0.69,0.24,0.109,0.56,0.16,0.80,66.8,70.7,0.69,17.9,4.0,0.6,1.3,2.2,0.5,0.8,67.1
2019-09-02 Mo. 07:00 ,2019-09-00129,11.7,37.8,55.2,73.5,0.0,8.2,29.5,250,290,0.0,1.7,11.7,16.5,29.8,37.3,48.2,0.7,1.6,48.5,4.52,8.10,3.50,0.63,0.23,0.094,0.56,0.16,0.71,66.2,70.1,0.65,17.8,4.1,0.7,1.4,2.2,0.5,1.2,65.8
2019-08-29 Do. 06:00 ,2019-08-03275,14.5,40.5,56.5,73.3,0.0,8.4,29.5,235,285,,1.7,11.4,16.1,29.3,36.8,48.0,0.6,1.3,49.8,4.65,8.40,3.57,0.67,0.25,0.095,0.57,0.16,0.84,64.7,68.7,0.69,17.9,3.5,0.8,1.3,2.0,0.4,0.9,67.4
